Gene,Mean,Dispersion,Dispersion_norm
AC074138.3,0.07917726074377893,2.9382866444870603,2.5509288
ZNF414,0.41915161990657207,2.6041219097681836,2.549434
MS4A6A,1.0558531414771306,2.4685816942188237,2.537322
GRAMD1C,0.022971941030617695,2.9350026965434313,2.531987
TUBA4A,1.3870098810306148,2.3386566320461766,2.5289886
ODC1,0.7916972654360184,2.531959584839652,2.524753
C19orf44,0.016507946916664906,2.9322644362014514,2.5161927
DNAJC27,0.029514692808483744,2.931233944941357,2.510249
PNOC,0.3860608517869281,2.6431856341156057,2.5052683
AC093323.3,0.38815359135077004,2.6430066324781367,2.5024626
FCHSD2,0.31004370943825,2.6423292216902823,2.4918447
NT5C3A,0.7560064428107359,2.530291657491548,2.4861763
INSL3,0.04718329608419176,2.9259464696046122,2.4797509
GOLGB1,0.23474649015049898,2.710937647178262,2.478262
DNAJA3,0.4464910080924557,2.6000840493833697,2.473947
H2AFJ,1.0136494737211241,2.4658605874549724,2.4710326
TOM1L2,0.2801265477333005,2.6409388133297367,2.4700513
POLR2J3,0.4320001952360097,2.5997271216483786,2.4672744
CEP290,0.2172998515633012,2.708758513982634,2.4525056
CD19,0.37955548082061813,2.6396141756671625,2.4492886
RP11-367G6.3,0.13757240546203753,2.920485207869896,2.4482503
LST1,1.6760505582533332,2.2463810852792814,2.446686
SWI5,0.4770614528007365,2.598456130208395,2.4435134
ZNF587B,0.03556493826609201,2.9194782152665324,2.442442
TPM4,0.9076909505168811,2.5006314901870423,2.441505
ACOT13,0.30282855799707126,2.639051654561436,2.4404716
USF2,0.7894830697562227,2.5282448242885724,2.4388356
CDCA7L,0.3711563790495792,2.6385773221810433,2.4330368
SYPL1,1.0194107806730777,2.4642509680094746,2.4318204
RAB6B,0.028316245768993754,2.917499525446145,2.4310288
VNN2,0.3867572313720851,2.6383168926799607,2.4289548
BCL7A,0.22436547393533782,2.7065045855503715,2.4258652
SH3BGRL2,0.05231661748304288,2.9156364952992444,2.420283
IL4R,0.5682242137565658,2.566151724604644,2.4159856
HIST1H2BD,0.15754040371108718,2.7048815136006406,2.4066813
ARRDC3,0.43666990157821417,2.5960954269780205,2.3993807
AFF3,0.2819420103824565,2.636248893679892,2.3965406
RP11-356N1.2,0.02033630276395756,2.9108616441481807,2.3927417
CTB-129O4.1,0.029686150953951898,2.9092047348685055,2.3831847
RNF11,0.5575728166258015,2.5644431091967155,2.3809357
SIDT1-AS1,0.4076683086537029,2.634862796931982,2.3748147
RP11-693J15.5,0.22102488440271145,2.7017237632984643,2.369358
HIST1H2AH,0.03291590625017559,2.9061415665417325,2.3655164
SPINT2,1.0425024206955347,2.461526773286315,2.3654559
RP11-544A12.4,0.015573751985191318,2.9059132110796835,2.3641992
EEF1G,1.3708739708102335,2.3319680671775957,2.3627448
SARDH,0.06816409565861402,2.9052879973586037,2.3605928
C5orf45,0.4231943025109014,2.5938987195123,2.3583136
MOSPD1,0.22112363990409714,2.700709899411317,2.3573747
TMEM181,0.14591772534852698,2.699434372063272,2.3422985
NEDD4,0.024719778616270373,2.9021047403539675,2.342232
